timestamp,frame_idx,fps,energy_ema,state,detected,conf,mean_kp_conf,visible_kpts,t_cam_ms,t_pose_ms,t_oracle_ms,t_draw_ms
1769406085.8728898,6368,32.02788193441141,0.004130222698058784,SCANNING,UPPERCUT,,0.7078390717506409,14,0.011811602336123408,30.29086844293015,31.56851436599563,0.5028592844349231
1769406085.911249,6369,31.93162860078122,0.003717100817713797,SCANNING,UPPERCUT,,0.7114222049713135,15,0.012538668254214957,30.32470296682733,31.59889721368365,0.4994065423139651
1769406085.9502532,6370,31.865194327713684,0.004643323800715005,SCANNING,UPPERCUT,,0.7284626960754395,15,0.012455572485985916,30.313846725775527,31.594385437816815,0.5066060147516351
1769406085.9857726,6371,31.9141743351607,0.00610367523536217,SCANNING,UPPERCUT,,0.7104097008705139,15,0.012179122856316523,30.198346990838075,31.48678659862618,0.5080215363041389
1769406086.0217946,6372,31.991702064554147,0.004068586535931419,SCANNING,UPPERCUT,,0.7135400176048279,15,0.012164791024499091,30.049895230074597,31.358147673646933,0.5082358078478736
1769406086.0587912,6373,32.04897680175198,0.0036559180514101927,SCANNING,UPPERCUT,,0.7076685428619385,15,0.012279606713882204,29.9680316076812,31.256087856305736,0.5050809400840048
1769406086.0932915,6374,32.16105564000505,0.0032247882058372944,SCANNING,UPPERCUT,,0.708580493927002,15,0.012033234467813002,29.845605079561064,31.097208823132565,0.5133384722131857
1769406086.1292846,6375,32.29848291236463,0.003928461840459755,SCANNING,UPPERCUT,,0.7177020907402039,14,0.011766571696849602,29.703412672123534,30.933600119514868,0.5081833884910444
1769406086.1642852,6376,32.415044454318476,0.003671344434147508,SCANNING,UPPERCUT,,0.7187212705612183,15,0.011545242130311115,29.571659659467066,30.772896109146394,0.5220487134587808
1769406086.1998205,6377,32.51582455534083,0.003533345313325781,SCANNING,UPPERCUT,,0.7114486694335938,15,0.0113496283032374,29.465214888515245,30.648168418703193,0.5174848202444593
1769406086.2348213,6378,32.56399508887715,0.003405367010209118,SCANNING,UPPERCUT,,0.7107961177825928,15,0.011057662729506324,29.37749370246251,30.57313094785899,0.5136620320371073
1769406086.2708154,6379,32.58516728497294,0.0032425910150248737,SCANNING,UPPERCUT,,0.7104380130767822,15,0.011749052398361624,29.28247021401316,30.51786447707318,0.5163290674082417
1769406086.3152459,6380,32.13368888996646,0.003622794481530126,SCANNING,UPPERCUT,,0.7120603919029236,15,0.012505131807447703,29.728952600168576,31.00712332012278,0.5109667456273854
1769406086.351237,6381,32.2634886480649,0.0033274518072094537,SCANNING,UPPERCUT,,0.713604211807251,15,0.012184717127481634,29.570212389597096,30.86041745607019,0.5048414098257472
1769406086.3877685,6382,32.34612836981202,0.0040526709553293,SCANNING,UPPERCUT,,0.7110205292701721,14,0.011865944752390754,29.48021139417916,30.74839205889745,0.5089981009435534
1769406086.4237702,6383,32.37006047668523,0.003628631012689567,SCANNING,UPPERCUT,,0.7186293005943298,15,0.011852666986139541,29.401434481095702,30.696288690377635,0.509406249387277
1769406086.4597702,6384,32.39659591462369,0.0028100933686950784,SCANNING,UPPERCUT,,0.7182787656784058,15,0.012008452720423312,29.347151729196625,30.64721760131579,0.5065337491633056
1769406086.495312,6385,32.494513449148016,0.0020454101428275693,SCANNING,UPPERCUT,,0.7113463282585144,15,0.011879773524822187,29.272379585317662,30.54010419318525,0.49937104247941905
1769406086.5313082,6386,32.57444487893011,0.0025840278254381055,SCANNING,UPPERCUT,,0.7155458927154541,14,0.011985390370515664,29.20679721874986,30.43778385689251,0.5053013545314431
1769406086.5664532,6387,32.68082260509023,0.001729899563669785,SCANNING,UPPERCUT,,0.709123969078064,14,0.011666554700924424,29.130773443123243,30.329809153877306,0.49622125200696415
1769406086.6039743,6388,32.545577820083224,0.0018711387251494074,SCANNING,UPPERCUT,,0.7057638764381409,13,0.011333234893546491,29.214215564021764,30.406064413729705,0.5341235559978705
1769406086.645976,6389,32.2452498139566,0.0019299575543211545,SCANNING,UPPERCUT,,0.7058379054069519,13,0.012410572582766125,29.53039832220093,30.71057926781369,0.5301136683280004
1769406086.6799836,6390,32.41476127095179,0.0016229299705211309,SCANNING,UPPERCUT,,0.7088990807533264,13,0.012041731527588698,29.382614453595544,30.54422092362246,0.5239765716578915
1769406086.7135062,6391,32.56697582666707,0.0021383379325857154,SCANNING,UPPERCUT,,0.714701235294342,14,0.01170238844359972,29.201733297024898,30.38442725149374,0.5276824487395532
1769406086.7485025,6392,32.75939773030247,0.002093831191992187,SCANNING,UPPERCUT,,0.7165899872779846,14,0.011606194451060427,29.03879463147775,30.21042507249588,0.5148438530063282
1769406086.7880285,6393,32.62664907030503,0.0022869256082388304,SCANNING,UPPERCUT,,0.7121110558509827,13,0.01170169737899106,29.119659065469335,30.323911064737008,0.5139363441411652
1769406086.8250234,6394,32.60693067180244,0.002526086014104637,SCANNING,UPPERCUT,,0.7108210325241089,13,0.012621557094719977,29.11188634306003,30.329534179780012,0.5081814357748109
1769406086.8590229,6395,32.715223045657794,0.003099969888682814,SCANNING,UPPERCUT,,0.7087873816490173,13,0.012195836974006505,29.003479431114837,30.19907543730545,0.5260869197827219
1769406086.8935347,6396,32.775175293706305,0.0037399116843674493,SCANNING,UPPERCUT,,0.7070251703262329,13,0.011828174645697954,28.962337071238817,30.137773403630288,0.5188319706578164
1769406086.9275339,6397,32.86234404046308,0.00430337279675805,SCANNING,UPPERCUT,,0.702994167804718,13,0.0114579250599903,28.863222108633074,30.050263537890892,0.5150774117575466
1769406086.961533,6398,32.937584916521715,0.005698054669132253,SCANNING,UPPERCUT,,0.7065050601959229,13,0.011189286676157033,28.779516344112846,29.975450458216674,0.51015121567399
1769406086.9950457,6399,33.06591553736607,0.007234315730828297,SCANNING,UPPERCUT,,0.7116997838020325,13,0.010846147945264811,28.69161903235344,29.859774422095185,0.5020351159264509
1769406087.0310433,6400,33.10990775775627,0.005951939356445224,ENGAGED,UPPERCUT,,0.7166817784309387,14,0.010570451304197955,28.620377504310866,29.769328469440627,0.5422563040628706
1769406087.0780482,6401,32.36938917440523,0.006089507353078694,ENGAGED,UPPERCUT,,0.742114782333374,15,0.010452820743213291,29.555907302949144,30.70446219856825,0.5347558028623165
1769406087.1155798,6402,32.2696686421684,0.005004259049458129,ENGAGED,UPPERCUT,,0.7427403926849365,15,0.010520592654032488,29.591330720156478,30.76484921979471,0.544007334361943
1769406087.1705816,6403,31.30016309170919,0.004522474616505398,ENGAGED,UPPERCUT,0.7168784737586975,0.7276299595832825,15,0.010806944517632667,31.01448826332037,32.21112527981359,0.5605747488046037
1769406087.212103,6404,31.20462063882895,0.005810488654516752,ENGAGED,UPPERCUT,,0.7210096716880798,13,0.010902386952909942,30.90014520326766,32.23639526232741,0.568424769684871
